ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Bolt A.,14,325.0,2665,159.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.3,3.94,1.3,4.25,1.26,3.8
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Lehecka J.,Lajovic D.,32,52.0,1337,914.0,7.0,5.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.4,3.0,1.47,2.9,1.49,3.0,1.44,2.73
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Evans D.,31,40.0,1369,1096.0,4.0,6.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed,1.8,2.0,1.95,1.95,1.95,2.1,1.85,1.94
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Thompson J.,25,47.0,1435,982.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.38,1.57,2.49,1.61,2.49,1.63,2.33,1.59
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,O Connell C.,29,71.0,1380,780.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.47,2.92,1.47,3.2,1.4,2.92
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Jarry N.,32,18.0,1337,1830.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.05,1.87,2.2,1.87,2.04,1.76
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Bublik A.,Musetti L.,31,25.0,1369,1435.0,6.0,3.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,1.91,1.91,1.99,1.92,1.99,2.0,1.9,1.89
3,Adelaide,Adelaide International,2024-01-11,ATP250,Outdoor,Hard,Quarterfinals,3,Draper J.,Paul T.,62,14.0,836,2665.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.09,1.83,2.26,1.83,2.16,1.69
3,Adelaide,Adelaide International,2024-01-12,ATP250,Outdoor,Hard,Semifinals,3,Lehecka J.,Korda S.,32,29.0,1337,1380.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.48,1.61,2.5,1.61,2.39,1.57
3,Adelaide,Adelaide International,2024-01-12,ATP250,Outdoor,Hard,Semifinals,3,Draper J.,Bublik A.,62,31.0,836,1369.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.46,2.96,1.48,2.99,1.44,2.77
3,Adelaide,Adelaide International,2024-01-13,ATP250,Outdoor,Hard,The Final,3,Lehecka J.,Draper J.,32,62.0,1337,836.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,2.3,1.62,2.45,1.63,2.45,1.63,2.32,1.6
4,Auckland,ASB Classic,2024-01-07,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Giron M.,57,60.0,906,860.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.63,1.5,2.46,1.61,2.63,1.61,2.49,1.52
4,Auckland,ASB Classic,2024-01-07,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,74,63.0,739,835.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.74,2.21,1.84,2.6,1.72,2.1
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van Assche L.,Wolf J.J.,87,54.0,687,910.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.3,1.62,2.21,1.74,2.3,1.74,2.19,1.66
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Gojo B.,82,91.0,707,664.0,1.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,2.63,1.5,2.52,1.58,2.63,1.58,2.47,1.53
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34.0,865,1235.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Bonzi B.,79,110.0,711,588.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.02,1.88,2.1,1.88,1.97,1.82
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Michelsen A.,66,92.0,799,659.0,0.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.75,1.44,2.74,1.51,2.8,1.51,2.64,1.47
