match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,ApproachRallies,4,4,4,0,0,0,0,25
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,NetPoints,19,12,8,1,2,3,2,101
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,Approach,13,8,5,0,1,2,2,61
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,NetPointsRallies,13,8,7,1,1,2,2,83
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,ApproachRallies,7,4,4,0,0,1,2,43
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,NetPoints,16,8,4,2,4,2,1,105
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Approach,7,4,2,1,1,0,1,47
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,NetPointsRallies,14,7,3,2,4,2,1,98
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,ApproachRallies,5,3,1,1,1,0,1,40
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,NetPoints,17,8,5,2,4,4,0,107
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,Approach,5,3,1,2,0,2,0,33
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,NetPointsRallies,16,7,5,1,4,4,0,104
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,ApproachRallies,4,2,1,1,0,2,0,30
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,NetPoints,23,12,7,0,4,5,1,102
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,Approach,16,11,6,0,1,3,1,65
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,NetPointsRallies,14,5,4,0,4,3,1,79
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,ApproachRallies,7,4,3,0,1,1,1,42
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,NetPoints,8,6,4,0,0,1,1,48
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,Approach,2,2,1,0,0,0,0,8
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,NetPointsRallies,7,5,4,0,0,1,1,45
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,ApproachRallies,1,1,1,0,0,0,0,5
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,NetPoints,8,4,3,1,1,2,1,48
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,Approach,8,4,3,1,1,2,1,48
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,NetPointsRallies,6,2,1,1,1,2,1,40
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,ApproachRallies,6,2,1,1,1,2,1,40
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,NetPoints,11,9,4,4,0,2,0,54
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,Approach,11,9,4,4,0,2,0,54
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,NetPointsRallies,8,6,3,3,0,2,0,47
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,ApproachRallies,8,6,3,3,0,2,0,47
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,NetPoints,28,20,11,7,3,3,1,169
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,Approach,24,17,8,7,2,3,1,130
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,NetPointsRallies,24,17,11,6,3,3,1,162
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,ApproachRallies,20,14,8,6,2,3,1,123
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Alexander Zverev,NetPoints,29,22,9,10,2,5,0,182
